"","Name","ID Number","Date","RTNG"
"488","Jakovenko, Dmitry",4122356,1995-01-01,2275
"489","Kamsky, Gata",2000024,1999-07-01,2720
"490","Kamsky, Gata",2000024,1999-01-01,2720
"491","Kamsky, Gata",2000024,1998-07-01,2720
"492","Kamsky, Gata",2000024,1998-01-01,2720
"493","Kamsky, Gata",2000024,1997-07-01,2720
"494","Kamsky, Gata",2000024,1997-01-01,2720
"495","Kamsky, Gata",2000024,1996-07-01,2745
"496","Kamsky, Gata",2000024,1996-01-01,2735
"497","Kamsky, Gata",2000024,1995-07-01,2735
"498","Kamsky, Gata",2000024,1995-01-01,2710
"499","Kamsky, Gata",2000024,1994-07-01,2695
"500","Kamsky, Gata",2000024,1994-01-01,2695
"501","Kamsky, Gata",2000024,1993-07-01,2645
"502","Kamsky, Gata",2000024,1993-01-01,2655
